,,Egypt,Nile Coastal/Deep Water Sub-basin (Nile Delta Bsn),Libra South 1,Jj052-06,,N. Alexandria-1 Area A-1 (Dev),Libra (WND),,Pliocene
,,Egypt,Nile Coastal/Deep Water Sub-basin (Nile Delta Bsn),Mediterranean Deep Water West 7,Ji049-02,,West Mediterranean Deep Water (Block B),Hodoa,,
,,Egypt,Nile Coastal/Deep Water Sub-basin (Nile Delta Bsn),Mediterranean Deep Water West 7ST1,Ji049-02ST1,Hodoa,West Mediterranean Deep Water (Block B),Hodoa,Tineh Formation,Oligocene
,,Egypt,Nile Coastal/Deep Water Sub-basin (Nile Delta Bsn),Mocha 1,,,El Matariya Onshore (Block 3),,,
,,Egypt,Gulf of Suez Basin,October North 159 5ST1,Gj080-16ST1,,North October N,Tanka East 3,Asl Member,Upper Langhian
,,Egypt,Nile Coastal/Deep Water Sub-basin (Nile Delta Bsn),Polaris 1,,,West Mediterranean Deep Water (Block B),Polaris 1,Abu Madi Formation,Upper Messinian
,,Egypt,Nile Coastal/Deep Water Sub-basin (Nile Delta Bsn),Polaris Deep 1,,,West Mediterranean Deep Water (Block B),Polaris 1,,
,,Egypt,Nile Coastal/Deep Water Sub-basin (Nile Delta Bsn),Rahamat 1,Jg058-02,,Burullus Offshore,,,
,,Egypt,Nile Coastal/Deep Water Sub-basin (Nile Delta Bsn),Rahamat 1ST1,Jg058-02ST1,,Burullus Offshore,,,
,,Egypt,Nile Coastal/Deep Water Sub-basin (Nile Delta Bsn),Rahamat 1ST2,Jg058-02ST2,,Burullus Offshore,,,
,,Egypt,Nile Coastal/Deep Water Sub-basin (Nile Delta Bsn),Rahamat 1ST3,Jg058-02ST3,,Burullus Offshore,,,
,,Egypt,Nile Coastal/Deep Water Sub-basin (Nile Delta Bsn),Rahamat 1ST4,Jg058-02ST4,,Burullus Offshore,Rahamat,,
,,Egypt,Gulf of Suez Basin,Ras El Deeb Marine East 2,Fj086-02,,Area 13,,Basement,Precambrian
,,Egypt,Gulf of Suez Basin,Ras El Deeb Marine East 3,Gb084-06,,Area 10,,Rudeis Formation,Miocene
,,Egypt,Gulf of Suez Basin,Ras El Deeb Marine East 4,Gc084-13,,Area 10,Ras El Deeb Marine East 1,Rudeis Formation,Lower Miocene
,,Egypt,Nile Coastal/Deep Water Sub-basin (Nile Delta Bsn),Raven 1,Jh049-01,,N. Alexandria-2 Area B-1 (Dev),Raven (WND),Qantara Formation,Burdigalian
,,Egypt,Nile Coastal/Deep Water Sub-basin (Nile Delta Bsn),Raven 1ST1,Jh049-01ST1,,N. Alexandria-2 Area B-1 (Dev),Raven (WND),,
,,Egypt,Nile Coastal/Deep Water Sub-basin (Nile Delta Bsn),Raven 1ST2,Jh049-01ST2,,N. Alexandria-2 Area B-1 (Dev),Raven (WND),Qantara Formation,Lower Miocene
,,Egypt,Nile Coastal/Deep Water Sub-basin (Nile Delta Bsn),Raven 2,Jh050-01,,N. Alexandria-2 Area B-1 (Dev),Raven (WND),Qantara Formation,Burdigalian
